ts,symbol,price,qty,side
1766683048014,BTCUSDT,88252.07,0.00012,buy
1766683700447,BTCUSDT,88099.99,0.00039,buy
1766683700447,BTCUSDT,88100.0,0.00193,buy
1766683758269,BTCUSDT,88020.0,0.00226,sell
1766684004017,BTCUSDT,88001.8,3e-05,sell
1766684365467,BTCUSDT,88004.65,0.00057,sell
1766684715765,BTCUSDT,88007.43,0.00016,sell
1766684756508,BTCUSDT,88007.76,0.02925,sell
1766684814926,BTCUSDT,88240.45,0.00289,buy
1766684922283,BTCUSDT,88239.04,5e-05,buy
1766685097046,BTCUSDT,88014.13,4e-05,sell
1766685290351,BTCUSDT,88019.95,2e-05,sell
1766685485315,BTCUSDT,88237.11,6e-05,buy
1766685530361,BTCUSDT,88236.98,0.01696,buy
1766685665341,BTCUSDT,88236.11,0.00023,buy
1766685695413,BTCUSDT,88236.11,0.00011,buy
1766685715883,BTCUSDT,88236.11,2e-05,buy
1766685725473,BTCUSDT,88236.11,0.00023,buy
1766685725515,BTCUSDT,88236.11,0.00066,buy
1766685725515,BTCUSDT,88236.92,0.00047,buy
1766685848701,BTCUSDT,88279.96,9e-05,buy
1766685848701,BTCUSDT,88279.97,0.00019,buy
1766685870381,BTCUSDT,88279.94,7e-05,buy
1766685870381,BTCUSDT,88279.95,1e-05,buy
1766685886227,BTCUSDT,88035.52,8e-05,sell
1766685936738,BTCUSDT,88280.0,0.0002,buy
1766685936738,BTCUSDT,88316.11,5e-05,buy
1766685936738,BTCUSDT,88369.17,0.00038,buy
1766685936738,BTCUSDT,88369.18,0.00957,buy
1766685936738,BTCUSDT,88369.19,0.00064,buy
1766685937188,BTCUSDT,88369.18,0.00015,buy
1766685937233,BTCUSDT,88411.26,0.00018,sell
1766685937242,BTCUSDT,88411.26,0.0008,sell
1766685937247,BTCUSDT,88411.26,0.00975,sell
1766686045239,BTCUSDT,88467.84,0.00028,buy
1766686068046,BTCUSDT,88466.84,0.00056,buy
1766686070472,BTCUSDT,88466.73,6e-05,buy
1766686100316,BTCUSDT,88465.46,3e-05,buy
1766686115312,BTCUSDT,88464.71,5e-05,buy
1766686235342,BTCUSDT,88459.27,0.00028,buy
1766686415307,BTCUSDT,88451.91,0.00011,buy
1766686445445,BTCUSDT,88451.3,0.00023,buy
1766686520473,BTCUSDT,88449.32,6e-05,buy
1766686846875,BTCUSDT,88300.4,4e-05,sell
1766686909292,BTCUSDT,88300.39,0.0019,sell
1766686938755,BTCUSDT,88300.39,0.00034,sell
1766687159950,BTCUSDT,88422.75,0.00113,buy
1766687435718,BTCUSDT,88300.39,0.00014,sell
1766687467918,BTCUSDT,88300.39,0.00028,sell
1766687561566,BTCUSDT,88346.88,0.00016,sell
1766687561575,BTCUSDT,88346.88,0.00249,sell
1766687561575,BTCUSDT,88224.76,0.00014,sell
1766687569038,BTCUSDT,88405.33,0.00227,buy
1766687634095,BTCUSDT,88403.54,0.0477,buy
1766687890154,BTCUSDT,88186.48,0.00017,sell
1766688094808,BTCUSDT,88386.82,0.00044,buy
1766688364628,BTCUSDT,88190.88,0.00333,sell
1766688601342,BTCUSDT,88385.42,0.0002,buy
1766688908076,BTCUSDT,88384.52,0.0001,buy
1766688928961,BTCUSDT,88384.12,0.0001,buy
1766688942519,BTCUSDT,88383.91,0.0001,buy
1766689184063,BTCUSDT,88203.04,0.00057,sell
1766689250387,BTCUSDT,88379.76,0.00113,buy
1766689340344,BTCUSDT,88378.46,0.00017,buy
1766689546775,BTCUSDT,88193.39,0.00011,sell
1766689646905,BTCUSDT,88193.7,5e-05,sell
1766689790393,BTCUSDT,88367.18,0.00028,buy
1766689819939,BTCUSDT,88365.94,0.00033,buy
1766690075307,BTCUSDT,88357.33,0.00028,buy
1766690092146,BTCUSDT,88356.74,0.00034,buy
